   900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;41023;1894860
   900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;41157;2475000
   900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;41197;8183340
   900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;41506;13776840
   900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;41507;110880
   900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;41528;15715260
   900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;41676;16054335
   900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;41871;11012760
   900078003-2;AMCOR HOLDINGS AUSTRALIA PTY L;41872;1683000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;32454;26243388
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;40812;17206200
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;40815;17245800
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;40816;11404800
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;40817;18780300
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;40818;9771300
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;40819;3682800
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;40852;1188000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;40868;3118500
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;40869;6534000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;40870;1534500
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;40881;2574000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;40953;1039500
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;40957;17661600
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;40962;1593900
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;40986;11137500
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;40987;9553500
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;40988;3960000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41047;2970000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41121;13216500
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41122;12325500
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41142;6360750
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41164;6454800
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41215;26413200
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41217;2376000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41218;198000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41230;3613500
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41431;19770300
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41432;12474000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41433;14256000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41434;13909500
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41435;4752000
   800041723-4;AMCOR RIGID PACKAGING DE COLOM;41441;1980000
